slider,value,stage,U.S. California Midway Sunset,U.S. California South Belridge,Canada Athabasca DC SCO,Indonesia Duri,Nigeria Obagi,Kuwait Ratawi,Mexico Chuc,Norway Ekofisk,Australia Cossack,Azerbaijan Azeri Light,Saudi Arabia Ghawar,U.S. Texas Spraberry,U.S. Texas Eagle Ford Black Oil,U.S. Texas Eagle Ford Volatile Oil,U.S. Wyoming Natural CO2 EOR Example,UAE Man-made CO2 EOR Example,U.S. Texas Eagle Ford Condensate,U.S. Texas Eagle Ford Gas,U.S. Pennsylvania Marcellus,UK Brent,UAE Shah,New Zealand Kapuni,Australia Gorgon,China Sulige,Iran South Pars,Qatar Idd El Shargi,Russia Astrakhanskoye,Russia Urengoyskoye,Argentina Vaca Muerta
petcoke,1,downstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petcoke,0,downstream,-81.11818913,-41.90763299,-91.84673799,-54.78193085,-0.0000000000000000000501,-0.0000000000000000000908,-0.0000000000000000000829,-0.0000000000000000000464,-0.0000000000000000000221,-0.0000000000000000000419,-0.0000000000000000000694,-0.0000000000000000000299,-0.000000000000000000000694,-0.00000000000000000000631,-0.0000000000000000000523,-0.0000000000000000000523,-0.000000000000000000058,-0.000000000000000000058,-0.000000000000000000058,-0.0000000000000000000571,-0.000000000000000000113,-0.000000000000000000113,-0.000000000000000000113,-0.000000000000000000113,-0.000000000000000000113,-0.000000000000000000113,-0.000000000000000000113,-0.000000000000000000058,-0.000000000000000000058
petcoke,0.5,downstream,-40.55909457,-20.9538165,-45.92336899,-27.39096543,-0.0000000000000000000251,-0.0000000000000000000454,-0.0000000000000000000414,-0.0000000000000000000232,-0.0000000000000000000111,-0.0000000000000000000209,-0.0000000000000000000347,-0.000000000000000000015,-0.000000000000000000000347,-0.00000000000000000000316,-0.0000000000000000000261,-0.0000000000000000000261,-0.000000000000000000029,-0.000000000000000000029,-0.000000000000000000029,-0.0000000000000000000286,-0.0000000000000000000566,-0.0000000000000000000566,-0.0000000000000000000566,-0.0000000000000000000566,-0.0000000000000000000566,-0.0000000000000000000566,-0.0000000000000000000566,-0.000000000000000000029,-0.000000000000000000029
solarsteam,0,upstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solarsteam,0.3,upstream,-53.31086719,-24.06563615,0,-49.84442305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solarsteam,0.75,upstream,-136.2892087,-60.51302794,0,-133.0899551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solarsteam,0,midstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solarsteam,0.3,midstream,-0.459875953,-1.544692436,-0.39018111,-1.347814162,-0.09535143,-0.319038497,-0.51579409,-0.325984214,-0.325760754,-0.331501663,-0.474382091,-0.360710132,-0.368574724,-0.298486485,-0.647137017,-0.647137017,-0.164470356,-0.113676357,-0.00000441,-0.078919474,-0.111331714,-0.075639768,-0.017710238,-0.0000297,-0.037529447,-0.033880461,-0.146771968,-0.003549875,-0.313821691
solarsteam,0.75,midstream,-1.149689882,-3.86173109,-0.975452774,-3.369535405,-0.238378576,-0.797596242,-1.289485225,-0.814960535,-0.814401885,-0.828754158,-1.185955226,-0.901775331,-0.92143681,-0.746216213,-1.617842542,-1.617842542,-0.41117589,-0.284190892,-0.000011,-0.197298685,-0.278329285,-0.189099419,-0.044275594,-0.0000743,-0.093823618,-0.084701153,-0.366929921,-0.008874687,-0.784554228
lng,0,midstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lng,0.5,midstream,0,0,0,0,17.17619537,0,7.07599409,6.249693334,6.806948882,3.884078686,6.735205131,6.693975757,6.290447258,6.313657217,0,0,8.154764972,10.96890125,21.42405459,41.27299092,16.21462515,22.91988629,26.33791642,32.27467729,20.09039091,20.58494645,21.9295201,19.75672958,6.820746932
lng,1,midstream,0,0,0,0,36.00670729,0,14.20719176,12.60380007,13.81030282,10.63675113,13.53139593,13.45456026,12.64983739,12.78545695,0,0,16.74435487,22.61538156,45.75264506,96.32144709,33.68124349,48.92333901,56.46042102,68.90691233,42.66845009,43.65768428,45.34798467,42.03256263,13.83174612
hydrogen,0,midstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrogen,0.5,midstream,-17.82311393,-21.28774482,0,-17.90141953,-0.43161796,-2.701948595,-0.864544296,0,-0.136854525,0,-2.345257905,0,0,0,-7.831299664,-7.831299664,0,0,0,0,-1.138043693,-0.773197117,-0.181035784,-0.000303767,-0.383629689,-0.346329394,-1.500317444,0,0
hydrogen,1,midstream,-35.64622787,-42.57548965,0,-35.80283906,-0.86323592,-5.403897191,-1.729088593,0,-0.27370905,0,-4.69051581,0,0,0,-15.66259933,-15.66259933,0,0,0,0,-2.276087386,-1.546394234,-0.362071568,-0.000607533,-0.767259378,-0.692658789,-3.000634889,0,0
venting,1,upstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venting,0.5,upstream,-24.76972622,-24.26593518,-25.47491416,-37.5525292,-76.9329594,-36.59272015,-13.41232519,-9.49810702,-9.546863641,-18.62913729,-30.80873689,-21.17891308,-20.77846978,-20.96394657,-22.16238662,-28.81110261,-14.28854694,-16.77709704,-35.97328007,-14.31165662,-15.44443891,-11.936755,-9.713623732,-38.71057883,-24.91577071,-10.41390327,-23.29550082,-40.86647668,-16.16871593
venting,1.5,upstream,49.53945245,48.53187036,50.94982832,75.1050584,153.8659188,73.18544029,26.82465038,18.99621404,19.09372728,37.25827458,61.61747378,42.35782616,41.55693956,41.92789313,44.32477324,57.62220522,28.57709388,33.55419408,71.94656014,28.62331324,30.88887781,23.87351,19.42724746,77.42115766,49.83154142,20.82780653,46.59100165,81.73295336,32.33743185
fugitives,1,upstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
