Field Name,Total Emissions (MJ),Total Emissions,Upstream Emissions,Midstream Emissions,Downstream Emissions, Transport to Consumers,Gasoline for Cars,Jet Fuel for Planes,Diesel for Trucks and Engines,Fuel Oil for Boilers,Petroleum Coke for Power,Liquid Heavy Ends for Ships,Natural Gas Liquids,Liquefied Petroleum Gases,Petrochemical Feedstocks,Natural Gas,Industry GHG Responsibility,Consumer GHG Responsibility,Methane Fugitives + Venting kg CO2e per BOE,Flaring kg CO2e per BOE,All fugitives and venting kg CO2e per BOE,$10 per tonne Carbon Fee Total GHG Emissions,$10 per Tonne Carbon Fee for Upstream Producer Emissions,$10 per Tonne Carbon Fee for Midstream Refiner Emissions,$10 per Tonne Carbon Fee for Downstream End-Use Emissions,$40 per tonne Carbon Fee Total GHG Emissions,$40 per Tonne Carbon Fee for Upstream Producer Emissions,$40 per Tonne Carbon Fee for Midstream Refiner Emissions,$40 per Tonne Carbon Fee for Downstream End-Use Emissions
U.S. Texas Eagle Ford Gas,53.6,297.2,58.3,6.5,232.5,7.7,56.9,24.4,4.3,3.1,0.0,1.7,5.5,0.0,0.0,128.8,72.4,224.8,40.2,0.7,44.1,2.97,0.58,0.06,2.32,11.89,2.33,0.26,9.30
U.S. Pennsylvania Marcellus,55.9,326.7,44.9,0.0,281.8,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.1,50.6,276.2,38.6,0.0,40.3,3.27,0.45,0.00,2.82,13.07,1.80,0.00,11.27
UK Brent,130.6,744.1,466.8,2.1,275.2,7.5,9.2,14.6,7.3,11.6,0.0,45.2,0.2,0.4,0.1,179.1,476.4,267.7,232.5,136.5,269.2,7.44,4.67,0.02,2.75,29.76,18.67,0.08,11.01
UAE Shah,82.8,482.5,142.4,10.3,329.7,8.0,43.6,26.2,28.4,0.0,0.0,42.2,13.9,1.2,0.4,165.9,160.8,321.7,26.8,0.2,67.3,4.82,1.42,0.10,3.30,19.30,5.70,0.41,13.19
New Zealand Kapuni,109.3,621.4,343.1,7.0,271.3,7.7,29.6,17.8,19.3,0.0,0.0,28.7,0.4,0.8,0.3,166.8,357.8,263.7,27.7,2.6,264.5,6.21,3.43,0.07,2.71,24.86,13.72,0.28,10.85
Australia Gorgon,66.6,400.7,72.7,1.6,326.4,4.7,6.9,4.2,4.5,0.0,0.0,6.7,0.0,0.2,0.1,299.1,75.0,325.7,38.8,0.4,39.0,4.01,0.73,0.02,3.26,16.03,2.91,0.07,13.05
China Sulige,71.5,418.4,135.9,0.0,282.5,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.9,141.5,276.9,94.4,0.1,116.2,4.18,1.36,0.00,2.83,16.73,5.43,0.00,11.30
Iran South Pars,69.8,412.6,55.0,3.5,354.1,6.3,14.7,8.8,9.6,0.0,0.0,14.2,44.8,0.4,0.1,255.2,64.7,347.8,38.5,0.2,45.4,4.13,0.55,0.03,3.54,16.50,2.20,0.14,14.16
Qatar Idd El Shargi,80.1,471.6,64.9,3.1,403.5,3.8,13.3,8.0,8.6,0.0,0.0,12.8,100.8,0.4,0.1,254.0,71.9,399.7,37.3,0.2,44.2,4.72,0.65,0.03,4.04,18.86,2.60,0.13,16.14
Russia Astrakhanskoye,109.4,645.3,286.9,13.6,344.7,8.6,57.4,34.5,37.4,0.0,0.0,55.6,0.3,1.6,0.5,148.7,309.1,336.1,72.1,1.0,164.1,6.45,2.87,0.14,3.45,25.81,11.48,0.54,13.79
Russia Urengoyskoye,56.8,328.8,42.7,0.2,285.9,5.8,1.8,0.8,0.1,0.1,0.0,0.1,16.4,0.0,0.0,260.8,48.7,280.1,38.1,0.3,38.8,3.29,0.43,0.00,2.86,13.15,1.71,0.01,11.44
Argentina Vaca Muerta,84.5,494.7,35.4,17.9,441.4,9.0,157.1,67.5,12.0,8.7,0.0,4.7,120.4,0.0,0.0,62.1,62.3,432.4,9.3,0.1,15.2,4.95,0.35,0.18,4.41,19.79,1.42,0.72,17.66
